,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pe_polymer,c_ke_polymer,c_ebond_polymer,c_pe_filler,c_ke_filler,c_ebond_filler,c_pxy_polymer[1],c_pxy_polymer[2],c_pxy_polymer[3],c_pxy_filler[1],c_pxy_filler[2],c_pxy_filler[3],c_ke_total,c_pe_total,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_filler[1],c_pxx_filler[2],c_pxx_filler[3],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,v_Ly,Time_shift,v_shear_shift,Lx_shift,v_temp_avg,c_temp_polymer,c_temp_filler
0,20000,20,1.0002227,0.031474267,7.6394125,1.5003274,10.337736,9.1397399,-2.6983238,-145028.59,59.487196999999995,59.487196999999995,59.487196999999995,-0.090224576,0.18625819,-0.0016108135999999998,-0.08686364099999999,-0.0033644161,0.050339135,153.66321000000002,30578.98,0.011004939354690409,1699410.0,172927,2170140.0,27256.3,165608,165857,174.0,305.143,-491.25,549.587,5273.73,-1920.27,338535,1726666.3,2347.53,2953.69,2895.8,-8506.57,-10646.7,-8461.6,-0.027254801309850425,-0.034042879900876184,-0.024629613240109746,0.0032019957518364455,0.024687463492344453,-0.010671386848393662,59.3019,10.0,0.011390342603892767,59.50987399999999,0.9987167005929728,1.124728455284553,0.8941151063600042
1,40000,40,1.0004928,-0.008480738199999999,7.6373336,1.5007326,10.355773,9.138066199999999,-2.718439,-144630.65,59.441843000000006,59.441843000000006,59.441843000000006,0.025035822000000003,-0.077616403,0.027138367000000004,0.091655359,0.068925127,-0.03382453,309.57727,30648.15,0.010234132856285693,1692950.0,166733,2167400.0,32823.5,172587,172830,-1822.02,-73.5898,348.39099999999996,9577.32,7534.42,-10358.9,339320,1725773.5,9826.51,9532.37,9375.85,-5217.7,-12304.2,-10106.4,0.020394769448623774,-0.012265819984069386,-0.0032328082131162015,0.03431852376316488,0.03301544472962209,-0.04429820780600053,59.479,30.0,0.010619536105488051,59.46452,1.0010325397527806,1.0844422764227641,0.9317946226109491
2,60000,60,1.0005252,0.029208612999999998,7.623939900000001,1.5007812,10.367445,9.1247211,-2.7435052000000004,-141603.52,59.367165,59.367165,59.367165,0.14922569,0.060504342,-0.1221042,-0.077468128,0.09657196,0.0061985114000000004,467.05692,30670.071,0.008964955105968505,1687470.0,162330,2166210.0,35460.2,176703,176883,1332.17,-5269.24,-2081.47,6415.22,-5708.97,-2502.89,339033,1722930.2,13825.7,13762.9,13215.5,-8718.81,-15561.8,-16269.1,0.02259885830604479,-0.00796043897690061,-0.013512700238959202,0.03428352066554562,-0.04858044959730949,-0.020286574033100274,59.3936,50.0,0.009350358355170863,59.389841999999994,1.0001858571555005,1.0558048780487805,0.9540168448331714
3,80000,80,0.99919773,0.012347495,7.614629700000001,1.49879,10.376330000000001,9.113419699999998,-2.7617002999999998,-139043.47,59.313176,59.313176,59.313176,-0.0014736797000000001,0.06181207,-0.023295904,0.071963867,-0.0031564288,0.01161341,624.85225,30617.76,0.008047393875594484,1683650.0,160314,2165360.0,36694.4,178828,178881,-1309.89,-1352.33,2431.48,-6719.27,6368.35,-6533.19,339142,1720344.4,15405.4,15348.3,16413.6,-11479.0,-19747.3,-16058.1,0.017374988937074076,-0.01946632445349146,0.0015731480662005406,-0.03553040092043544,0.022196743074608373,-0.018150765554473845,59.336999999999996,70.0,0.008432797124796842,59.33585299999999,1.000507419535652,1.0426926829268293,0.9654896879386675
4,100000,100,1.0002103999999998,0.11859095,7.6125811,1.5003090000000001,10.385191,9.1128901,-2.7726102000000004,-138922.39,59.275778,59.275778,59.275778,0.26969629,0.13891057,-0.052834009,-0.015717555,0.010173966999999999,-0.077285231,781.95439,30496.221,0.00741180227557368,1681320.0,158340,2164980.0,38484.2,181196,181395,-2341.55,2663.01,1984.4,-10139.9,57.0721,-2447.71,339536,1719804.2,16631.1,15412.0,16773.5,-14231.0,-18623.2,-16007.4,0.010620851402779,-0.014210107089122934,0.0033901230197362613,-0.055232542702894065,0.012036826710328349,-0.002050225683688822,59.291000000000004,90.0,0.0077972055247760375,59.298455,1.0016697642859251,1.0298536585365854,0.9782744843969333
5,120000,120,1.0004065,-0.08108726599999999,7.5982921,1.5006031000000002,10.381813000000001,9.0988952,-2.7835205000000003,-135763.5,59.252714000000005,59.252714000000005,59.252714000000005,-0.014647547,-0.12410499,-0.10450926,0.055642313,-0.052315479000000005,0.10757783,938.6474800000001,30349.602000000003,0.007019821831087877,1678890.0,156335,2164260.0,38880.2,182037,182301,2481.23,-2072.57,-969.427,5455.1,-995.691,-8287.81,338372,1717770.2,16991.8,18142.0,18393.8,-16990.4,-18945.8,-17422.5,6.195238516673233e-06,-0.003556951942649789,0.004298167979467206,0.03511961235507567,-0.01357757766173998,-0.04096485087175856,59.2595,110.0,0.007405225080290235,59.275391,0.9982358320795351,1.0168130081300812,0.9828150307742144
6,140000,140,1.0018736,0.070162124,7.599205199999999,1.5028037,10.387549,9.102008900000001,-2.7883438,-136464.09,59.228325,59.228325,59.228325,0.13048991,0.16844882,-0.08845236599999999,-0.0079322218,0.056474888,-0.091210576,1095.5595,30206.139,0.006605322565541241,1677940.0,156063,2164230.0,39686.6,183224,183469,-307.342,-214.607,-1081.55,-1888.11,7906.17,-3886.73,339287,1717626.6,16787.2,18107.8,18312.1,-17048.4,-18579.6,-17312.5,-0.0011558545003982686,-0.0020877953801221316,0.004423400300911579,-0.009715249137091778,0.034036476679352154,-0.021985485441189483,59.2405,130.0,0.006990725814743599,59.25100199999999,1.0009351860046611,1.0150439024390243,0.9892236259583198
7,160000,160,1.0006906999999998,-0.15248567,7.5920954,1.5010295,10.386486,9.093124900000001,-2.7943909,-134459.17,59.21330699999999,59.21330699999999,59.21330699999999,-0.22029055,-0.12567015,-0.11149629999999999,-0.0062648336,0.047947286,0.013583089,1253.6702,30088.085,0.006350086599737815,1676370.0,155219,2163950.0,39666.2,183576,183801,-313.351,-462.449,-3972.55,2736.57,2981.12,941.998,338795,1716036.2,17291.2,17326.8,18350.4,-17767.3,-19928.9,-15495.7,-0.002106823612709083,-0.011514735817328977,0.012632533852553326,0.010723156916541287,0.011145548278608726,-0.013410708912293123,59.2213,150.0,0.006735489848940173,59.23598399999999,0.9994837301236098,1.0095544715447153,0.9911240686750891
8,180000,180,0.99866214,-0.085700346,7.597444500000001,1.4979866000000002,10.391515,9.0954311,-2.7940704,-134980.24,59.218089,59.218089,59.218089,0.011043218999999998,-0.026168207000000002,-0.24197605,-0.089615825,0.01432411,-0.06640481200000001,1412.5834,29978.159,0.00643135829959619,1676460.0,154540,2163540.0,40215.6,184193,184523,-1290.41,3743.65,45.3354,6710.79,-7820.88,-2079.71,338733,1716675.6,18260.7,18652.5,19676.0,-18681.4,-20926.2,-16927.5,-0.0018616691742632124,-0.010061509868129927,0.012162580759359236,0.023986104965041156,-0.018042437383839278,-0.00900245419948668,59.2131,170.0,0.006816761548798548,59.240765999999994,0.9993008230816887,1.005138211382114,0.9944552424144261
9,200000,200,1.0025626,-0.061768033,7.5914887,1.5038372,10.38862,9.0953258,-2.7971310000000003,-134955.7,59.202004,59.202004,59.202004,-0.069503575,-0.035461916,-0.08033860799999999,-0.048939305999999995,-0.09503419699999999,-0.022978695,1572.2338,29872.442000000003,0.006157988309587803,1675840.0,154661,2163590.0,40434.3,184425,184580,3935.19,-5403.48,-1291.0,6459.43,4354.12,8434.03,339086,1716274.3,17679.4,18194.6,19327.9,-17264.4,-21057.9,-17092.6,0.0018364457031595717,-0.012670590317727246,0.009891583325958062,0.04599796442163023,-0.00464359677847597,0.031609124701301006,59.205,190.0,0.006543391558790161,59.224681,1.0003422131752073,1.0059252032520325,0.9957078069322968
10,220000,220,0.9997418,0.067357819,7.5891365,1.4996061,10.389422999999999,9.0887425,-2.8002867,-133463.05,59.190192,59.190192,59.190192,0.18675794,0.046241812,-0.030926292,0.12201765,0.032329928,0.0094781652,1730.6449,29735.627,0.005957239393083019,1675170.0,154251,2163540.0,39992.6,184480,184601,-538.068,-1185.85,-213.358,-96.2806,-4184.41,-448.644,338731,1715162.6,18278.9,19037.4,18037.0,-15430.2,-21325.8,-18050.5,0.012605982830338971,-0.010126559872555084,-5.9739799982299316e-05,-0.0028071006283741924,-0.023764315426143906,-0.002929471634657934,59.2037,210.0,0.006342642642285377,59.212869,0.9992949228545298,1.003258536585366,0.996004751106792
11,240000,240,1.0005366,0.04948143,7.5901678,1.5007983,10.39291,9.0909661,-2.8027424,-133962.41,59.189276,59.189276,59.189276,0.016178809,0.0082736835,0.12399180000000001,-0.06422335400000001,-0.031769454,-0.078940382,1890.2566,29614.021,0.005941671664711944,1675010.0,154308,2163390.0,40354.4,184714,184896,241.421,177.65200000000002,-2160.24,8146.17,-3050.71,5416.77,339022,1715364.4,19191.3,18714.6,18079.9,-14993.9,-21289.2,-19738.1,0.018574210107089123,-0.011393043632179849,-0.0073378175059739675,0.0371165191609877,-0.012713771130188511,0.014410700061952388,59.1967,230.0,0.006327074913914302,59.211952999999994,1.0001534059061274,1.0036292682926828,0.9972681135946443
12,260000,260,0.99941441,0.061727698,7.5922562000000005,1.499115,10.391667,9.0913712,-2.7994109000000003,-134060.79,59.195591,59.195591,59.195591,-0.11740498,0.14010355,0.16248452,0.033252702,-0.024131615,-0.060791162999999995,2048.885,29472.423,0.006048997215654033,1675260.0,154112,2163470.0,40414.7,184679,184958,-2847.9,1108.73,-172.53400000000002,-4127.96,7055.32,3397.1,338791,1715674.7,17777.0,18746.3,17786.5,-16188.9,-18393.8,-20169.2,0.007027613063102931,0.0015598725550933711,-0.01054385343835738,-0.030869368970705375,0.03612731215151783,0.014269253916275777,59.1939,250.0,0.006434400464856391,59.218267999999995,0.9994719296692922,1.0023544715447155,0.9970791491199654
13,280000,280,1.0001743,0.0033950347999999997,7.5910634,1.5002547,10.392610000000001,9.091318199999998,-2.8015463,-134040.58,59.189795,59.189795,59.189795,-0.12203335,0.081155903,0.051062549000000006,-0.099702001,0.047183035,0.046933339000000004,2208.8291,29345.873,0.005950492244433024,1674880.0,153775,2163640.0,40788.2,185026,185171,2657.5,2243.47,-1130.07,18448.4,6153.27,4615.8,338801,1715668.2,17997.3,17917.8,17322.1,-14013.4,-21531.6,-17742.4,0.01762943623329498,-0.015991680679706164,-0.0018598991061155982,0.09339720329232676,0.03715700504469422,0.015424949110540757,59.1873,270.0,0.006335895493635382,59.21247199999999,0.999501430805086,1.0001626016260163,0.9989525969117806
14,300000,300,0.99764827,0.04522793,7.593507300000001,1.4964658000000002,10.393180000000001,9.0899731,-2.7996724,-133729.74,59.195517,59.195517,59.195517,0.03511448,0.072621496,0.027947815,0.065627242,-0.014436505,-0.049517523,2368.1387,29207.045,0.0060477395607420005,1675110.0,154216,2163310.0,40267.9,184557,184857,-3924.33,-2762.95,-3084.07,5655.92,-650.872,-3013.9,338773,1715377.9,18124.8,18209.3,17001.9,-14716.0,-18430.6,-19891.3,0.015084520754049027,-0.0009792902026727996,-0.012786087264359668,0.007662580759359236,-0.015106743959642444,-0.026984556155411985,59.19,290.0,0.006433142809944358,59.218194,0.9994188276248636,1.0030308943089432,0.9964204729510852
15,320000,320,1.0019761,-0.075515599,7.592712700000001,1.5029573999999999,10.395037,9.0956701,-2.8023248,-135010.26,59.194915,59.194915,59.194915,-0.056292924,-0.077336059,-0.092917814,-0.042033648,0.044184100999999996,0.015582664,2528.6824,29079.847,0.006037508368078944,1674760.0,154320,2163540.0,41035.0,185325,185544,-1209.0,-1848.28,-519.962,6794.42,1089.79,-3985.12,339645,1715795.0,18682.0,18269.9,17783.6,-14629.0,-20989.1,-19294.5,0.017935215505796975,-0.012032923267545787,-0.006685989910611565,0.024716435082750687,-0.0033564474732277194,-0.019935755376582,59.1944,310.0,0.0064229116172813015,59.217591999999996,1.0019913266660767,1.0037073170731707,1.0005668934240364
16,340000,340,0.99860811,-0.095867566,7.5956011,1.4979055000000001,10.393038,9.093506699999999,-2.7974373,-134527.59,59.21056899999999,59.21056899999999,59.21056899999999,-0.13117922,-0.090250715,-0.066172766,0.049918532,-0.043528157000000005,-0.081880511,2690.7162,28964.769,0.006303553367991261,1675740.0,153605,2163450.0,40790.6,184821,185038,653.4119999999999,345.458,2340.01,-4413.37,6577.6,6430.21,338426,1716530.6,18006.0,18427.0,18248.6,-16189.9,-19860.7,-18236.6,0.00803655190724843,-0.0063443667581201905,5.310204442871051e-05,-0.016638454730507124,0.03063571112487831,0.03880971767413046,59.1945,330.0,0.0066889566171936185,59.23324599999999,0.9983951382128212,0.9990569105691056,0.9978458049886622
17,360000,360,1.0003520000000001,0.053332632000000005,7.589392599999999,1.5005214,10.392658,9.089914,-2.803265,-133720.25,59.194030000000005,59.194030000000005,59.194030000000005,0.04905096900000001,-0.013343481,0.12429041,-0.022994095,-0.049399316,-0.024175087999999997,2853.0223,28847.225,0.006022467495144125,1674640.0,153755,2163310.0,40782.3,184941,185288,-1599.64,-255.112,-4227.14,2191.63,10354.7,18307.3,338696,1715422.3,18408.4,18646.0,17982.9,-14775.0,-21174.6,-19540.6,0.016078414018939734,-0.011189485795203109,-0.006893087883883517,0.002619656606779361,0.04469239755730596,0.06230710682361271,59.1874,350.0,0.006407870744346482,59.216707,0.9991916688792519,1.0000325203252032,0.9984936831875607
18,380000,380,1.0009973,0.17552569,7.592534700000001,1.5014893,10.393295,9.094024000000001,-2.8007606,-134656.76,59.190385,59.190385,59.190385,0.22982741,0.20069157,0.096058092,-0.049717711,0.036058982,0.054353217,3015.9759999999997,28731.14,0.005960519493056317,1674950.0,154253,2163580.0,40794.6,185089,185310,1357.55,-929.64,-1307.58,-1267.58,-3324.98,2097.05,339342,1715744.6,18149.9,19884.5,17646.8,-15714.2,-20695.3,-18980.8,0.010778387467917518,-0.0035879281352332033,-0.0059031772723249845,0.0003981325781042571,-0.018827418355606692,0.0034935392512611746,59.1922,370.0,0.006345922742258675,59.213061999999994,1.0010974422515266,1.0032715447154472,0.9992927329662024
