,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],c_pxx_filler[1],c_pxx_filler[2],c_pxx_filler[3],c_pxx_filler[4],c_pxx_filler[5],c_pxx_filler[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_pe_filler,c_ke_filler,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer,c_temp_filler
0,20000,20,1.0002466,-0.17988352,11.074297,1.5003601,14.558269000000001,12.574657,-3.4839726000000004,-1357.3473,53.444223,53.402213,53.402213,-0.32217298,-0.20305534,-0.014422235,-0.039239513,-0.0089269751,0.067027049,103.81745,207531.08,0.0010000031466077333,-314.035,-1897.58,-1442.17,288.953,-190.139,667.243,2880.49,1595.62,1737.15,-102.94,-53.3837,-522.351,0.016670704774277362,-0.0019614160441701854,0.001916076648262423,0.0012082689184800257,-0.0015818298148749595,0.0009411627151672625,1689380.0,153803,14480.3,77327.2,231130.2,1703860.3,-560.822,10.0,0.0005000015733039332,1.0008886001948685,1.0003447154471545,1.0019721412374474
1,40000,40,0.99875864,0.033430227,11.065847999999999,1.4981282,14.555617000000002,12.563976,-3.4897690999999997,442.93545,53.497614,53.33595699999999,53.33595699999999,0.081618397,-0.021765081000000002,0.040437365,-0.039851829,0.027451613,0.16580142,209.27723,209067.96,0.0020000062932153334,-107.071,-406.417,-1237.12,-427.465,-228.595,88.9994,2239.28,2218.51,-766.5369999999999,-207.375,207.07299999999998,-437.284,0.013850009743423191,0.011770659304969148,-0.013014985384865214,-0.004123676518350113,-0.00013979863592075362,-0.0022623228320883403,1689430.0,153726,14457.8,77244.6,230970.6,1703887.8,-266.598,30.0,0.0015000047199115333,1.0001974667099707,0.9998439024390244,1.000901846452867
2,60000,60,0.99956782,0.082868069,11.060111000000001,1.499342,14.552663,12.559453,-3.4925519,1293.3103,53.551005,53.293808,53.293808,0.030072047,0.13508539,0.083446774,-0.06057635,0.11243444,-0.053568819000000004,315.4472,209982.69,0.0030000094398230665,-1535.88,-1248.74,-2208.14,-319.286,122.679,-90.0312,2684.73,1465.78,2147.51,-292.62,401.68300000000005,-395.26300000000003,0.007462487820721013,0.0014098083793439426,-0.0003938291653134112,-0.003974706073400455,0.003406053913608315,-0.003152284507957129,1688930.0,153691,14369.0,77263.5,230954.5,1703299.0,491.98900000000003,50.0,0.0025000078665192663,1.000127747104038,0.9996162601626016,1.0011467444120505
3,80000,80,0.9991263000000001,-0.086144604,11.069374,1.4986796999999998,14.558714000000002,12.568052999999999,-3.4893400000000003,126.17636,53.604395999999994,53.279132,53.279132,-0.17175771,-0.073780625,-0.012895478,0.039044806,-0.20026094,-0.02031618,420.86625,210012.26,0.004000012586430533,-1040.23,-2709.62,-2395.27,-267.232,266.184,-143.92,2541.73,1794.17,3217.85,-171.86599999999999,740.102,-96.3794,0.009753166612536538,-0.0059464111724585895,0.005343163364728808,-0.0028522117570639817,0.006536446898343619,-0.001560892497564144,1688970.0,153882,14332.7,77193.4,231075.4,1703302.7,525.56,70.0,0.003500011013126733,1.000651293710079,1.000858536585366,1.0002384191771947
4,100000,100,0.99941199,-0.06042059,11.069104,1.4991083,14.554914000000002,12.568211999999999,-3.4858102,256.20722,53.657786,53.271043999999996,53.271043999999996,0.020914485,-0.040094499,-0.16208176,-0.05756231,-0.025011751000000002,-0.027629852000000003,526.62325,210122.68,0.00499999700323092,-715.988,-1815.73,-2468.69,-402.849,94.4317,405.315,2472.5,1416.41,3008.49,575.308,-141.915,-502.846,0.011409626502111074,-0.002593829165313413,0.003506333225073074,0.0011202273465410848,-0.00030843325755115287,-0.0006335238713868139,1689340.0,154030,14266.5,77134.3,231164.3,1703606.5,285.08799999999997,90.0,0.00449999542992712,1.0010362671863158,1.0018211382113822,0.9994726271460965
5,120000,120,1.0005411,0.019058615,11.067851,1.500802,14.552876999999999,12.568653,-3.4850258999999997,341.42147,53.711177,53.258649,53.258649,0.16495271,-0.043807659000000006,-0.063969208,-0.0045885709,0.023547979,0.028514004,632.41794,210173.56,0.006000000149838519,-691.062,-1262.58,-2010.54,7.47377,-37.3065,377.526,1848.3,1819.93,1024.11,726.192,261.309,15.0531,0.007516973043195842,0.0036203312763884387,-0.0064074699577785,0.004765610717765508,0.001455034101981163,0.0025500428710620335,1689310.0,153910,14179.1,77043.2,230953.2,1703489.1,765.465,110.0,0.005499998576534719,1.0001221175706398,1.0010406504065041,0.9982921930677032
6,140000,140,0.99914259,-0.028728816,11.060179,1.4987041,14.551257000000001,12.558883,-3.4910781,1999.8644,53.764568000000004,53.219105000000006,53.219105000000006,-0.09483871199999999,-0.022127947999999998,0.030780211000000002,0.027282347999999998,-0.061580935999999996,-0.058410739,740.24731,210758.99,0.007000003296446253,-353.539,-1137.41,-571.654,676.821,-278.556,367.086,1815.53,1337.3,820.3539999999999,849.307,-223.132,-333.76199999999994,0.009496531341344592,0.0012984085742124057,0.0016154595647937637,0.0099131406300747,-0.003258772328678142,0.00021645988957453763,1689360.0,153800,14199.3,77051.9,230851.9,1703559.3,950.81,130.0,0.006500001723142453,0.9996834470066038,1.0003252032520324,0.9984049238743115
7,160000,160,1.0011755,-0.022462716,11.064973,1.5017535,14.553779,12.566727,-3.4888062999999994,946.50501,53.817958999999995,53.203823,53.203823,0.057830278,-0.11206685,-0.013151576000000002,0.040027612000000004,-0.12690981,-0.09106826,846.7338800000001,210836.74,0.00800000644305372,-701.1030000000001,-972.92,-970.5419999999999,334.111,12.4756,458.624,1992.7,1167.47,491.472,1103.01,470.66,-275.217,0.008389717440727508,0.001263721987658331,-0.0031118544982137054,0.009334985384865217,0.0031382630724261125,0.0011913413445924005,1689020.0,153609,14198.0,77055.5,230664.5,1703218.0,1637.82,150.0,0.007500004869749919,0.998871928115189,0.9990829268292682,0.9984515711046323
8,180000,180,0.99593047,-0.09348636699999999,11.065679,1.493886,14.55524,12.559565,-3.4895617999999997,2203.627,53.87135,53.16321899999999,53.16321899999999,0.003392502,-0.10102689,-0.18282471,-0.046320479000000005,-0.0064608697999999996,0.022896739,951.3816800000001,210466.77,0.009000009589661453,-678.56,-1323.37,-1120.87,381.039,659.268,890.446,2219.35,1388.5,1150.44,382.795,493.029,352.225,0.010008379343942839,0.0004230594348814557,0.00019207534913933202,0.004961571938941215,0.007484878207210133,0.008071912958752842,1689210.0,153680,14356.6,77236.2,230916.2,1703566.6,1188.35,170.0,0.008500008016357653,0.9999618923893039,0.9995447154471544,1.0007930029154517
9,200000,200,1.0028198,0.035204757999999996,11.065791,1.5042198999999998,14.553268,12.570011000000001,-3.4874769999999997,748.47274,53.924741000000004,53.135088,53.135088,0.078856293,-0.030083021,0.056840999999999996,0.028983167,0.011905416,0.0023417630999999998,1056.1518,210174.21,0.010000012736269187,-1024.3,-1609.37,-2296.28,-62.3332,142.327,496.619,1848.33,1573.6,2153.5,25.7649,115.64,268.158,0.005352582007145177,-0.00023234816498863254,-0.0009274439753166625,-0.0002375336148100032,0.001675654433257551,0.004967697304319584,1688920.0,153699,14310.3,77162.2,230861.2,1703230.3,1734.55,190.0,0.009500011162965387,0.9997237198224532,0.9996682926829268,0.999834143181082
