,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],c_pxx_filler[1],c_pxx_filler[2],c_pxx_filler[3],c_pxx_filler[4],c_pxx_filler[5],c_pxx_filler[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_pe_filler,c_ke_filler,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer,c_temp_filler
0,20000,20,0.99983066,-0.065136943,11.060891,1.4997361999999999,14.553016,12.560627,-3.4921252000000003,638.23294,53.3983,53.3983,53.3983,0.057534642999999996,-0.070684552,-0.18226092,0.041990408,-0.0052484315,0.023824655,148.13801,29479.465,0.00013987420162328465,-952.8939999999999,-1440.82,-1471.08,401.56800000000004,-13.2154,880.995,1122.29,1460.76,1315.27,504.94699999999995,430.18699999999995,371.17800000000005,0.0011003312763884384,0.00012952257226372236,-0.0010120818447547902,0.005888372848327379,0.002708487171159467,0.008133634296849627,1689150.0,153831,14213.2,77118.2,230949.2,1703363.2,42.7911,10.0,0.00017880410629298707,1.0001047959294143,1.0005268292682927,0.9992640103660512
1,40000,40,1.0010166999999999,0.087111414,11.066653,1.5015153,14.555570999999999,12.568168,-3.4889175000000003,-529.80288,53.39414300000001,53.39414300000001,53.39414300000001,0.17058537,0.040139925,0.050608945,-0.08607104800000001,-0.0047798408,-0.025667764,295.59206,29263.613999999998,6.20143922838798e-05,-1618.1,-1955.24,-1746.91,223.324,-48.2522,518.762,1899.35,2072.2,1601.12,-256.607,-371.97900000000004,-282.758,0.0018268918480025982,0.000759727184150697,-0.0009469957778499525,-0.00021619356934069514,-0.002729660279311465,0.0015329912309191293,1689050.0,153769,14151.8,77010.1,230779.1,1703201.8,361.411,30.0,0.00010094429695358222,0.9993681931362997,1.0001235772357724,0.9978632977000326
2,60000,60,1.0025659,0.013051617,11.061332,1.5038391000000002,14.550463,12.565171000000001,-3.4891311000000003,-61.972044,53.388218,53.388218,53.388218,-0.019840067,0.018873689,0.04012123,0.030926701,0.10811793,0.035996772999999996,443.65419,29133.292,-4.895971652949932e-05,-1795.45,-1506.27,-2510.9,42.2699,-26.0236,39.7166,995.1560000000001,2451.81,2109.88,-130.727,278.993,104.603,-0.005198402078596947,0.006141864241636895,-0.0026048717115946733,-0.0005745833062682689,0.0016431919454368302,0.0009374446248782071,1689280.0,154013,14236.1,77038.0,231051.0,1703516.1,-229.072,50.0,-1.0029811859796894e-05,1.0005456316986034,1.0017105691056911,0.9982248137350178
3,80000,80,0.998276,0.044766222,11.061478999999999,1.4974043,14.550104000000001,12.558883999999999,-3.4886246,912.49449,53.399661,53.399661,53.399661,0.11447097,-0.00076607341,0.020593775,0.019019533999999998,-0.057469047,0.0094010113,592.841,29049.209,0.0001653654694874534,-1682.0,-658.3960000000001,-2448.97,431.82199999999995,144.61,84.67200000000001,1170.9,2134.85,1505.91,186.267,503.43800000000005,-527.849,-0.0033199090613835656,0.009590477427736277,-0.006125755115297173,0.004014868463786943,0.004209470607340045,-0.0028787073725235466,1689270.0,153940,14005.6,76889.2,230829.2,1703275.6,243.93,70.0,0.00020429537415715581,0.9995851466926491,1.0012357723577237,0.9962967282150955
4,100000,100,0.99608351,0.07941618,11.069245,1.4941156,14.552544000000001,12.563361,-3.4832984,217.54881,53.40426,53.40426,53.40426,0.053619109000000005,0.14574154,0.038887892,0.019706787,0.10194706,0.03809381,740.94438,28896.831000000002,0.0002515038536954183,-2398.88,-961.815,-1661.6,-96.1649,1167.34,29.6299,1371.5,2267.45,1292.15,-1072.49,779.587,-374.36400000000003,-0.006673465410847679,0.008480902890548878,-0.0023998051315362117,-0.007591132835336148,0.012646489119844105,-0.0022392601493991557,1689020.0,153925,14135.0,76970.3,230895.3,1703155.0,300.947,90.0,0.00029043375836512074,0.9998713868139005,1.001138211382114,0.997347586653709
5,120000,120,1.0009668,0.015211653,11.064461999999999,1.5014404,14.552095000000001,12.565903,-3.4876327000000007,-180.11593,53.392658999999995,53.392658999999995,53.392658999999995,0.09870847599999999,-0.021042516,-0.032031002,0.035486122,0.018673093,0.021356882999999997,890.38689,28789.176,3.4219358109997065e-05,-1554.44,-332.63199999999995,-1487.85,26.9657,326.932,113.434,804.566,2339.12,317.524,-87.3146,1298.37,-180.57,-0.00487089314712569,0.013033374472231242,-0.007601987658330627,-0.0003920032478077298,0.010557336797661578,-0.000436089639493342,1689460.0,153911,14221.3,77001.7,230912.7,1703681.3,-250.77200000000002,110.0,7.314926277969949e-05,0.9999467359532317,1.0010471544715447,0.9977544541626174
6,140000,140,0.99548135,-0.0063298993000000005,11.064629,1.4932123,14.552309,12.557841,-3.48768,1055.2004,53.39014,53.39014,53.39014,0.044365965,-0.030613857,-0.032741806,-0.012834594,0.040038509,-0.015926994,1037.8204,28614.192000000003,-1.2961026716978258e-05,-1685.73,-2002.27,-1149.69,143.013,776.1410000000001,684.2539999999999,1256.92,1834.52,1847.15,-162.612,1278.28,-920.773,-0.002785384865215979,-0.001089639493341994,0.0045304319584280614,-0.00012730756739201033,0.013344728808054564,-0.0015363364728808063,1689050.0,153800,14123.3,76991.7,230791.7,1703173.3,371.07300000000004,130.0,2.5968877952724165e-05,0.99942275630616,1.0003252032520324,0.9976248785228377
7,160000,160,1.0028697,0.09816957300000001,11.066435,1.5042947,14.55526,12.570729,-3.4888252,-929.4694400000001,53.402145,53.402145,53.402145,0.12901984,0.060279558,0.10520932,0.021361533,-0.05169902,-0.059861484000000006,1185.9191,28462.057,0.00021189031105567412,-1250.55,-975.535,-1485.17,-135.893,770.987,805.7689999999999,898.0939999999999,2045.5,984.6139999999999,-1167.0,211.548,313.461,-0.002289418642416369,0.0069500811951932456,-0.003251419291977916,-0.008463091912958753,0.006382169535563495,0.007270087690808704,1689240.0,153760,14235.3,77049.1,230809.1,1703475.3,48.3035,150.0,0.00025082021572537654,0.999498105445491,1.0000650406504066,0.9983686426951734
8,180000,180,0.99931966,0.021842072,11.065712,1.4989698,14.553379999999999,12.564682000000001,-3.4876684,1.7012512999999998,53.39861,53.39861,53.39861,0.086697111,0.041938783,-0.063109678,-0.0092636678,0.040731162,0.057262762,1333.1965,28293.392999999996,0.00014568044191560527,-2471.79,-806.715,-1686.19,142.703,229.838,692.842,142.202,2771.34,2111.65,268.565,-8.83582,30.8775,-0.015132107827216627,0.012761448522247483,0.0027636245534264376,0.0026714387788242936,0.0014355451770055212,0.004701003572588503,1689160.0,153754,14251.7,77041.8,230795.8,1703411.7,129.467,170.0,0.0001846103465853077,0.9994405109884161,1.0000260162601626,0.9982740524781342
9,200000,200,1.0017049,-0.035030804,11.064885,1.5025476,14.551966,12.567433,-3.4870812999999994,-429.70887,53.397619999999996,53.397619999999996,53.397619999999996,-0.083344922,-0.0060353992,-0.01571209,-0.074398533,0.0029511917,-0.043044937,1481.3486,28145.624,0.00012713793259487395,-1869.33,-1403.51,-1806.75,33.7716,42.7234,988.7189999999999,1085.23,1762.57,2201.09,-293.281,-606.22,66.20100000000001,-0.005093212081844754,0.0023323156869113344,0.002561481000324782,-0.001685673270542384,-0.0036602572263721993,0.006852354660604091,1689430.0,153852,14275.2,77019.9,230871.9,1703705.2,-244.544,190.0,0.00016606783726457638,0.9997700552127314,1.0006634146341464,0.9979902818270165
