,Time_Binned,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer
0,"[20.0, 423.848)",220000.0,220.0,0.9997523223809524,0.0022138514380952356,16.63572938095238,1.4996138380952384,21.106074000000003,18.135343333333335,-4.470344585714286,2241.5670747619047,49.06858919047619,48.244302714285716,48.244302714285716,-0.006663776261904761,0.006988368049999999,0.006316962780952381,-0.001246354452380952,0.0023104973761904754,-0.014745419436238097,667.7403377619048,120674.45952380954,0.011000008519185941,695.078861904762,139.41284333333334,-183.76037333333335,73.19411904761903,-53.19326190476189,-175.46690952380953,0.00678125718931475,0.0013601253008130082,-0.0017927841300813012,0.0007140889663182344,-0.0005189586527293844,-0.001711872288037166,1705167.619047619,153747.90476190476,153747.90476190476,1705167.619047619,2148.1433809523805,210.0,0.010500005500727407,0.999986372435153,0.999986372435153
1,"[423.848, 827.697)",630000.0,630.0,1.0004644695,-0.016289201255,16.636303549999997,1.5006820699999996,21.10688455,18.13698555,-4.470581125,4144.565265,50.0635507,47.76445009999999,47.76445009999999,-0.023517922303,-0.014983784364999997,-0.01036589718065,0.004177162397499999,0.003552755265,0.008080025385000002,1928.137605,120454.23449999999,0.03150000884933751,944.8907949999999,59.11430499999998,-60.574699999999986,4.874387499999996,94.45547000000002,-10.350690000000004,0.009218446780487805,0.0005767249268292684,-0.0005909726829268293,4.7554999999999974e-05,0.000921516780487805,-0.00010098234146341473,1705187.0,153748.9,153748.9,1705187.0,4200.019,620.0,0.031000005830878974,0.9999928455284552,0.9999928455284552
2,"[827.697, 1231.545)",1030000.0,1030.0,0.9993247210000001,-0.018934925420000002,16.638395000000003,1.49897247,21.107598700000004,18.137367550000004,-4.469203550000001,6095.74755,51.03424485,47.31105625,47.31105625,-0.03701552670699999,-0.0016503312099999986,-0.018138918774,0.007229957330000002,0.00199299195,0.0032037485030000008,3168.796225,119876.73950000003,0.05150000905537563,1248.3872999999999,-10.974150000000018,-1.865609999999998,-2.7131535000000158,-6.102874999999976,-207.01558999999997,0.012179388292682928,-0.00010706487804878039,-1.820107317073174e-05,-2.6469790243902664e-05,-5.9540243902439074e-05,-0.002019664292682927,1705273.5,153765.3,153765.3,1705273.5,6087.6545000000015,1020.0,0.0510000060369171,1.000099512195122,1.000099512195122
3,"[1231.545, 1635.394)",1430000.0,1430.0,1.000059047,-0.01608186728,16.634865599999998,1.5000739399999998,21.106803449999994,18.1349396,-4.471937765,8298.846025,52.004939,46.86136049999999,46.86136049999999,-0.01008590285,-0.013868625655,-0.02429107338,-0.003437353455,7.22944149999993e-05,0.0037572115245,4409.145980000001,118919.44899999998,0.07150000926141376,1262.9287500000005,43.770675,-78.246545,-77.57780850000002,-210.40160499999996,-181.25169,0.012321256097560976,0.000427030975609756,-0.0007633809268292684,-0.0007568566682926829,-0.002052698585365854,-0.0017683091707317074,1705141.0,153728.6,153728.6,1705141.0,8212.092,1420.0,0.07100000624295522,0.9998608130081299,0.9998608130081299
4,"[1635.394, 2039.242)",1830000.0,1830.0,1.0004278574999999,-0.008778346949999998,16.63672885,1.50062715,21.107838000000005,18.137355949999996,-4.471109149999999,9970.88852,52.9756331,46.43004629999999,46.43004629999999,-0.0076036342600000004,-0.0009065637349999977,-0.017824842516499996,-0.003158269414999999,0.002929200346500001,-0.0009323285959999998,5660.476209999999,118051.5,0.09150000843726128,1557.1997000000001,68.50374000000002,-71.5523995,103.40619,-85.44772500000002,-188.92348500000003,0.01519219219512195,0.0006683291707317073,-0.0006980721902439024,0.0010088408780487806,-0.0008336363414634146,-0.0018431559512195124,1705205.0,153757.75,153757.75,1705205.0,10039.727499999999,1820.0,0.09100000541880274,1.0000504065040652,1.0000504065040652
5,"[2039.242, 2443.091)",2240000.0,2240.0,0.9999010814285713,-0.018603936329523806,16.63747,1.4998369952380952,21.106014952380953,18.13730704761905,-4.468544928571429,11915.469071428568,53.97059466666666,46.010759666666665,46.010759666666665,-0.021582426885714285,-0.00853800871809524,-0.02569137292380952,0.0007256079095238099,-0.0014387722999999989,-3.690246666666599e-05,6972.211385714285,117520.13142857142,0.11200000994477355,1861.993666666667,86.8297852380952,-113.0824361904762,-89.5631,-43.874900000000004,-121.88747619047619,0.018165791869918697,0.0008471198559814167,-0.0011032432799070846,-0.0008737863414634147,-0.0004280478048780486,-0.0011891461091753776,1705294.761904762,153766.61904761905,153766.61904761905,1705294.761904762,11881.309523809521,2230.0,0.11150000692631501,1.000108091366628,1.000108091366628
6,"[2443.091, 2846.939)",2650000.0,2650.0,0.9999354799999999,-0.013530614935000001,16.6363876,1.4998885950000003,21.106577,18.1362762,-4.470189475000001,13932.773549999998,54.96555609999999,45.585567400000016,45.585567400000016,-0.028922740900000004,-0.010125454065,-0.001543650280000001,-0.014156206553999998,-0.009865681230000001,0.0023779634350000003,8291.445735,116855.35549999995,0.13250000870511083,2175.519500000001,130.096705,-122.68486000000003,-15.536979999999994,36.201334999999986,-93.04438999999999,0.02122458048780488,0.0012692361463414634,-0.001196925463414634,-0.00015158029268292679,0.0003531837560975609,-0.0009077501463414635,1705282.0,153766.5,153766.5,1705282.0,13807.14,2640.0,0.1320000056866523,1.0001073170731707,1.0001073170731707
7,"[2846.939, 3250.788)",3050000.0,3050.0,1.0000832039999998,-0.013751448954999999,16.63868935,1.50011015,21.1066121,18.138799700000003,-4.4679226100000005,15510.85785,55.9362503,45.19773205,45.19773205,-0.022870112379999998,-0.01347146544,-0.004912769052,-0.00015187327759999986,0.0014633785800000003,-0.009529592370000001,9569.58846,115931.30999999998,0.15250000994133955,2482.276999999999,-84.62099,65.493495,11.550814999999991,168.995486,-32.15379,0.024217336585365856,-0.0008255706341463416,0.0006389609268292684,0.00011269087804878039,0.0016487364487804876,-0.00031369551219512205,1705288.0,153740.95,153740.95,1705288.0,15662.569999999998,3040.0,0.15200000692288101,0.9999411382113823,0.9999411382113823
8,"[3250.788, 3654.636)",3450000.0,3450.0,0.9999164024999999,-0.011318413945000003,16.6366619,1.499859985,21.107364349999997,18.13652185,-4.47070242,17551.439399999996,56.9069444,44.79972744999999,44.79972744999999,-0.016399027090000004,-0.007760335975,-0.00979587866,0.000811054084999999,-0.0055139528549999995,0.0038391875180000005,10838.107099999997,114819.64049999998,0.17250000911718708,2698.92,34.90254500000001,-42.07058000000001,99.71668500000001,46.413719499999985,-101.86168175,0.02633092682926829,0.0003405126341463417,-0.0004104446829268292,0.0009728457073170735,0.0004528167756097561,-0.0009937725048780488,1705288.0,153731.45,153731.45,1705288.0,17482.010000000002,3440.0,0.17200000609872854,0.999879349593496,0.999879349593496
9,"[3654.636, 4058.485)",3850000.0,3850.0,1.0006786534999998,-0.00014399151000000116,16.6362797,1.50100333,21.106671999999996,18.1372831,-4.470392219999999,19257.019399999997,57.8776386,44.419583050000014,44.419583050000014,-0.015463004545000002,0.014692549534999997,0.00033848065849999954,-0.009711476654999999,0.0038115493,0.0028424455050000005,12102.92625,113641.57049999999,0.1925000103534158,3140.0195,-81.18575499999999,76.20335685,-50.63477500000003,-33.710195,-162.16839999999996,0.030634336585365858,-0.0007920561463414637,0.0007434473839024391,-0.0004939978048780491,-0.0003288799512195122,-0.0015821307317073169,1705307.5,153743.2,153743.2,1705307.5,19233.68,3840.0,0.1920000073349573,0.9999557723577237,0.9999557723577237
10,"[4058.485, 4462.333)",4260000.0,4260.0,1.0008814447619048,-0.0035401097285714276,16.63861795238095,1.5013074952380951,21.106771809523806,18.139925571428567,-4.46815368095238,20791.417,58.87260004761905,44.05134276190477,44.05134276190477,-0.025003408199999994,0.008557068447619047,0.005826010480952381,-0.004989486228571428,0.0034443765523809533,0.011815290165714285,13394.27023809524,112372.87285714287,0.2130000094080933,3392.5828571428574,216.47927714285711,-238.60733666666667,75.38075714285712,12.441861904761904,39.835712542857124,0.03309836933797909,0.0021119929477351916,-0.002327876455284553,0.0007354220209059232,0.000121384018583043,0.0003886410979790941,1705411.9047619049,153754.90476190476,153754.90476190476,1705411.9047619049,20924.157142857144,4250.0,0.2125000063896347,1.0000319008904375,1.0000319008904375
11,"[4462.333, 4866.182)",4670000.0,4670.0,1.0000666434999999,-0.006217463055,16.639175250000005,1.5000853299999999,21.1071786,18.139260599999997,-4.468003335000001,22636.23705,59.8675616,43.685634949999994,43.685634949999994,-0.026110991261,0.006072766470999999,0.0013858361225,-0.002294339147,-0.003810267188000001,-0.00014783524500000013,14705.3282,111248.419,0.23350001062126538,3721.4584999999997,-102.37399,105.60712000000001,178.45043500000003,101.940565,-115.1780945,0.03630691219512196,-0.0009987706341463413,0.0010303133658536583,0.0017409798536585368,0.0009945420975609755,-0.0011236887268292685,1705402.5,153761.55,153761.55,1705402.5,22702.890000000003,4660.0,0.23300000760280687,1.0000751219512194,1.0000751219512194
12,"[4866.182, 5270.03)",5070000.0,5070.0,0.9995071294999999,-0.018474969611,16.638696500000002,1.4992460599999997,21.107277200000002,18.1379425,-4.46858072,24479.31495,60.838255749999995,43.33346795,43.33346795,-0.03397680151500001,-0.01090883713,-0.010539269944999999,-0.0022936215584999997,-0.00640824699825,0.00026200763310000057,16004.373399999997,110260.70500000003,0.2535000108273035,3351.0665,37.283510500000006,-49.378274999999995,-38.92799999999999,-19.699194999999996,71.042225,0.03269333170731708,0.0003637415658536587,-0.0004817392682926829,-0.00037978536585365845,-0.0001921872682926829,0.0006930948780487804,1705434.5,153791.3,153791.3,1705434.5,24351.085,5060.0,0.25300000780884496,1.0002686178861788,1.0002686178861788
13,"[5270.03, 5673.879)",5470000.0,5470.0,0.9997532164999999,-0.016050523534999996,16.638420500000002,1.4996151899999997,21.1058489,18.1380355,-4.4674286500000004,26151.263,61.8089499,42.9975083,42.9975083,-0.033099115400000004,-0.007412131683000002,-0.007640323325000001,-0.00626878241,-0.008846961209000002,0.005351233138999999,17307.156050000005,109251.74849999999,0.27350001103334165,3981.5339999999997,-170.86097999999998,159.85615,-209.574865,42.261121149999994,-126.23480100000002,0.03884423414634146,-0.0016669363902439027,0.0015595721951219515,-0.0020446328292682923,0.00041230362097560935,-0.0012315590341463417,1705402.0,153748.45,153748.45,1705402.0,26107.595,5460.0,0.27300000801488306,0.9999899186991872,0.9999899186991872
14,"[5673.879, 6077.727)",5870000.0,5870.0,1.0000923995000002,-0.009154512469999999,16.636296899999998,1.5001239650000002,21.1057913,18.136420849999997,-4.469494549999999,27975.685999999998,62.77964405,42.65934455,42.65934455,-0.021325939920000002,0.009718912200000002,-0.01585650976,-0.011517248825000003,0.006513966542500001,0.011622823825,18599.65165,108143.85199999998,0.2935000112393798,3956.1304999999993,-108.79396500000003,108.80941800000001,145.7270395,79.20417950000001,31.556914999999986,0.038596395121951226,-0.0010614045365853657,0.0010615552975609757,0.0014217272146341462,0.0007727237024390243,0.00030787234146341445,1705301.0,153688.8,153688.8,1705301.0,27927.314999999995,5860.0,0.29300000822092126,0.999601951219512,0.999601951219512
15,"[6077.727, 6481.576)",6280000.0,6280.0,0.9998948857142859,-0.011773146323809524,16.638369190476187,1.4998276999999998,21.106946047619044,18.1381969047619,-4.468576852380952,29467.10652380952,63.77460552380954,42.32863833333333,42.32863833333333,-0.042533139069809524,0.00776863500666667,-0.0005549348285714265,-0.003019607766666667,0.008549788972857145,-0.002132642475238095,19905.501714285718,106880.80952380953,0.3140000108336809,4054.7319047619053,76.44171904761905,-90.09248571428571,25.13828095238096,-64.12352190476192,-37.96226333333333,0.03955836004645761,0.000745772868757259,-0.000878951080139373,0.0002452515214866435,-0.0006255953356562135,-0.0003703635447154472,1705373.8095238095,153732.14285714287,153732.14285714287,1705373.8095238095,29486.419047619045,6270.0,0.31350000781522236,0.999883855981417,0.999883855981417
16,"[6481.576, 6885.424)",6690000.0,6690.0,0.9995856064999998,-0.016599272632500002,16.638357649999996,1.49936378,21.106809699999996,18.137721499999998,-4.468452094999999,31170.06435,64.76956705,42.00028089999999,42.00028089999999,-0.044306838005,-0.0030738418900000007,-0.0024171377350000003,-0.0013696007100000014,-0.007148279184000001,-0.0038657178300000026,21219.39715,105652.3705,0.3345000115072293,4606.012000000001,-161.1868575,156.1279,-79.27806700000001,-3.311654999999992,39.237985,0.0449367024390244,-0.0015725547073170733,0.0015231990243902436,-0.000773444556097561,-3.230882926829264e-05,0.0003828096097560977,1705458.5,153740.0,153740.0,1705458.5,31047.954999999998,6680.0,0.33400000848877076,0.9999349593495935,0.9999349593495935
17,"[6885.424, 7289.273)",7090000.0,7090.0,1.0004662944999998,-0.018316519644999998,16.63904815,1.5006848000000002,21.10688145,18.1397331,-4.467833265,32559.566,65.74026115,41.69175210000001,41.69175210000001,-0.030962223759000006,-0.013694642339999999,-0.010292693225000002,-0.0008155601049999996,0.00304333049,-0.009250250887500002,22501.65455,104446.836,0.3545000106830769,4880.366,27.88651705000001,-30.824609999999996,-164.208907,61.17375449999999,-123.95602999999997,0.0476133268292683,0.00027206358097560987,-0.0003007279024390244,-0.0016020381170731707,0.0005968171170731706,-0.0012093271219512196,1705522.5,153779.7,153779.7,1705522.5,32540.635,7080.0,0.3540000076646183,1.0001931707317073,1.0001931707317073
18,"[7289.273, 7693.121)",7490000.0,7490.0,0.9992478119999999,-0.01601538156,16.63775985,1.4988570900000002,21.106788199999997,18.136616900000003,-4.46902823,34455.8872,66.71095534999999,41.383982599999996,41.383982599999996,-0.04031726054,-0.00706253406,-0.0006663502415000005,-0.005698494005,-9.802312200000077e-05,-0.0020114570004999997,23781.732750000003,103223.17799999999,0.37450001191930565,5153.6785,143.76016,-159.88118000000003,106.95606000000001,66.564935,122.65775999999998,0.050279790243902445,0.0014025381463414637,-0.0015598163902439028,0.001043473756097561,0.000649414,0.0011966610731707317,1705437.5,153721.85,153721.85,1705437.5,34260.765,7480.0,0.3740000089008471,0.9998169105691058,0.9998169105691058
19,"[7693.121, 8096.97)",7890000.0,7890.0,1.0009099495,-0.01204415437,16.638772850000002,1.50135029,21.1068181,18.14012325,-4.468045355000001,35653.6344,67.68164945,41.089271600000004,41.089271600000004,-0.040789300120000004,-0.0029592035914999997,0.0076160409965,-0.00804206925,0.008154701910000001,0.001914852758500001,25079.19275,102064.61200000001,0.3945000110951531,5359.842999999999,-99.94972,83.6584595,136.51825400000004,-50.846140000000005,58.92920500000001,0.05229115121951219,-0.0009751192195121954,0.0008161800926829268,0.0013318854048780487,-0.0004960599024390245,0.0005749190731707319,1705544.5,153775.6,153775.6,1705544.5,35657.59,7880.0,0.3940000080766945,1.0001665040650407,1.0001665040650407
20,"[8096.97, 8500.818)",8300000.0,8300.0,1.0005374104761906,-0.02001821945714286,16.63943714285714,1.5007914714285715,21.107398095238096,18.140228523809522,-4.467961071428572,37219.79066666666,68.676611,40.79072147619048,40.79072147619048,-0.05516319807142857,-0.004133711980952381,-0.0007577482110476189,0.005087312438095239,0.006695286114285712,-0.0020265895766666668,26401.9880952381,100835.65095238097,0.4150000122592686,5577.757142857143,16.532233333333334,-9.289519047619043,107.13637476190479,-10.355090476190478,-96.93853285714286,0.05441714285714286,0.00016129008130081287,-9.062945412311268e-05,0.0010452329245063878,-0.00010102527293844375,-0.0009457417839721252,1705521.9047619049,153772.61904761905,153772.61904761905,1705521.9047619049,37259.60952380953,8290.0,0.41450000924081,1.0001471157568718,1.0001471157568718
21,"[8500.818, 8904.667)",8710000.0,8710.0,1.0008886025000001,-0.014830080935,16.63759865,1.5013182749999996,21.106803050000003,18.138916849999998,-4.469204335,38910.97125000001,69.67157245000001,40.4923447,40.4923447,-0.05230073359,0.008691305084000001,-0.0008808148200000001,-0.00439904202,-0.0001490378350000007,0.008406308559999999,27750.136949999996,99689.72325,0.4355000113630026,5863.73,-55.86399,52.43092999999999,112.91855999999999,-18.368175499999992,-95.50323999999999,0.057207121951219506,-0.0005450145365853658,0.0005115212682926829,0.0011016444878048778,-0.00017920171219512198,-0.0009317389268292682,1705507.0,153754.5,153754.5,1705507.0,38850.56,8700.0,0.4350000083445442,1.0000292682926832,1.0000292682926832
22,"[8904.667, 9308.515)",9110000.0,9110.0,1.0006453084999998,-0.028542948069999997,16.640690150000005,1.5009533099999999,21.106209749999998,18.1416434,-4.465519625,40130.252400000005,70.64226665000001,40.22762875,40.22762875,-0.056983392199999996,-0.02038827865,-0.008257172280000002,0.010241554515000001,0.003688627190000001,-0.0071928252874999985,29052.78794999999,98511.35005000002,0.4555000125992314,5859.4315000000015,91.29720499999999,-103.38238999999996,46.536784999999995,-114.81671000000001,95.28869999999999,0.05716518536585365,0.0008907044390243903,-0.0010086086829268295,0.0004540174146341466,-0.0011201630243902437,0.0009296458536585366,1705499.5,153740.75,153740.75,1705499.5,40371.020000000004,9100.0,0.45500000958077286,0.9999398373983738,0.9999398373983738
