,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer
0,20000,20,0.99959819,0.026447725,16.632694,1.4993826000000001,21.105903,18.132077,-4.473209,1551.7755,48.583242,48.465519,48.465519,0.05868961,-0.0023577135,0.023011277000000004,0.0090842836,0.0058826099,0.025074027000000002,62.622432999999994,125182.25,0.0010000060369170687,-34.9374,-159.989,93.88,-201.83900000000003,-183.78400000000002,-168.44799999999998,-0.00034085268292682923,-0.001560868292682927,0.0009159024390243902,-0.0019691609756097564,-0.0017930146341463417,-0.0016433951219512193,1705130.0,153856,153856,1705130.0,1054.97,10.0,0.0005000030184585343,1.000689430894309,1.000689430894309
1,40000,40,1.0036682,-0.052692965,16.647206,1.5054875,21.107057,18.152694,-4.4598508,-457.18352999999996,48.631777,48.512861,48.512861,-0.038634375,-0.027622578,-0.09182194199999999,0.0049429654,0.033267055,0.024716576,120.91859,120797.67,0.0020000120738341374,1627.79,98.1074,-141.955,247.549,-150.482,-64.7206,0.015880878048780488,0.0009571453658536585,-0.0013849268292682928,0.0024151121951219512,-0.0014681170731707317,-0.0006314204878048781,1705410.0,153800,153800,1705410.0,929.6560000000001,30.0,0.001500009055375603,1.0003252032520324,1.0003252032520324
2,60000,60,0.99898674,-0.01594521,16.631106,1.4984655,21.105846,18.129571,-4.4747405,2015.5545,48.680312,48.427245,48.427245,-0.048070912,0.015508975,-0.015273693,0.013569505,-0.0042081398999999995,-0.036575985,181.69468999999998,120948.1,0.0030000181107512056,467.38300000000004,237.477,-132.792,584.976,40.4293,-179.61900000000003,0.004559834146341464,0.002316848780487805,-0.0012955317073170731,0.005707082926829268,0.0003944321951219512,-0.0017523804878048783,1705450.0,153904,153904,1705450.0,886.725,50.0,0.0025000150922926713,1.0010016260162602,1.0010016260162602
3,80000,80,1.0010691999999999,0.047477648,16.637978,1.5015892,21.10741,18.139567,-4.469431500000001,1093.7625,48.728846000000004,48.416509000000005,48.416509000000005,0.075167605,0.00054558635,0.066719754,-0.0098541241,0.030640365,-0.021015699,240.70292,120110.76,0.004000003543855883,271.401,-238.965,307.345,314.192,-490.103,500.467,0.0026478146341463414,-0.002331365853658537,0.002998487804878049,0.003065287804878049,-0.00478149268292683,0.00488260487804878,1705190.0,153789,153789,1705190.0,1366.9,70.0,0.003500000525397349,1.0002536585365853,1.0002536585365853
4,100000,100,0.99747252,0.037593329,16.630878,1.4961942,21.102979,18.127073,-4.4721001,2477.1748,48.777381,48.376079,48.376079,-0.023040092999999998,0.048295325,0.087524755,0.025037200000000003,0.054142660999999995,0.0038040387,300.4055,119861.8,0.005000009580772805,1096.43,212.097,-264.535,127.286,161.102,-371.70599999999996,0.010696878048780488,0.002069239024390244,-0.002580829268292683,0.0012418146341463415,0.0015717268292682928,-0.0036263999999999997,1705280.0,153741,153741,1705280.0,1430.46,90.0,0.004500006562314271,0.9999414634146342,0.9999414634146342
5,120000,120,1.0042294,-0.0021209411,16.63285,1.5063293,21.104309,18.13918,-4.4714588,1338.1674,48.825916,48.364678000000005,48.364678000000005,-0.019227273,0.027654857999999997,-0.014790408,0.0049605219,-0.035720131,0.0098699809,360.34148999999996,119753.49,0.006000015617689874,310.82,-279.633,-31.2556,477.344,-11.2248,-202.582,0.003032390243902439,-0.0027281268292682925,-0.0003049326829268293,0.0046570146341463415,-0.00010951024390243903,-0.001976409756097561,1704880.0,153612,153612,1704880.0,2062.7,110.0,0.00550001259923134,0.9991024390243902,0.9991024390243902
6,140000,140,0.99587433,0.032938696,16.635946,1.4937969,21.109571,18.129742999999998,-4.4736249,2408.3164,48.87445,48.316331,48.316331,-0.0040664482,0.037842398,0.065040137,0.00887845,0.0096806195,-0.0064831563,421.24861,119935.5,0.007000001050794552,1042.15,393.293,-417.464,15.6984,351.82199999999995,-30.3925,0.010167317073170732,0.0038370048780487806,-0.004072819512195122,0.0001531551219512195,0.0034324097560975604,-0.0002965121951219512,1705020.0,153685,153685,1705020.0,1954.91,130.0,0.006499998032336017,0.9995772357723578,0.9995772357723578
7,160000,160,1.0045415000000002,0.076170278,16.626166,1.5067976,21.107387,18.132964,-4.481220400000001,2180.611,48.922985,48.260855,48.260855,0.042196615,0.08064397599999999,0.10567024,-0.016605716,-0.0093311856,0.00025557006,482.25917999999996,120082.54,0.008000007087711473,749.17,34.1349,11.7716,225.515,-87.1001,24.3614,0.007308975609756097,0.00033302341463414635,0.00011484487804878048,0.0022001463414634144,-0.0008497570731707317,0.00023767219512195123,1704950.0,153635,153635,1704950.0,2177.16,150.0,0.0075000040692529395,0.9992520325203251,0.9992520325203251
8,180000,180,0.9972806000000001,0.017796708,16.634412,1.4959063,21.10549,18.130318,-4.4710785,2555.1911,48.97152,48.284602,48.284602,0.063364648,-0.0034346831,-0.0065398411,0.0096689318,0.040485807,-0.058974013,543.6381700000001,120264.84,0.009000013124628543,1573.35,170.505,-237.049,361.241,-185.19099999999997,215.605,0.015349756097560974,0.0016634634146341463,-0.0023126731707317073,0.00352430243902439,-0.0018067414634146339,0.0021034634146341463,1705350.0,153840,153840,1705350.0,1668.54,170.0,0.008500010106170009,1.0005853658536585,1.0005853658536585
9,200000,200,0.99989219,-0.010903427,16.639908,1.4998236999999999,21.103801,18.139732000000002,-4.4638932,1691.9279999999999,49.020053999999995,48.291084999999995,48.291084999999995,-0.040834782,0.016230854,-0.0081063532,0.013744815,-0.04611531,-0.060379006,605.29817,120454.34,0.009999998557733075,26.3315,-6.769489999999999,-39.4911,210.593,-341.091,-220.36700000000002,0.00025689268292682923,-6.604380487804878e-05,-0.00038527902439024393,0.0020545658536585366,-0.0033277170731707316,-0.0021499219512195124,1705190.0,153756,153756,1705190.0,2018.99,190.0,0.00949999553927454,1.000039024390244,1.000039024390244
