,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer
0,20000,20,1.002489,-0.032323005,16.633944,1.5037188999999997,21.105970000000003,18.137663,-4.4720267,868.42173,48.515334,48.515334,48.515334,-0.049912736,-0.035190916,-0.011865361999999999,-0.011172986999999999,-0.025245667000000003,0.033251135,42.143519,8386.5607,-0.00039915765845654604,538.479,-360.102,-45.3024,76.7405,60.7028,386.32099999999997,0.0052534536585365854,-0.003513190243902439,-0.00044197463414634143,0.0007486878048780487,0.0005922224390243903,0.0037689853658536584,1705430.0,153806,153806,1705430.0,747.665,10.0,-0.0004922353811674016,1.0003642276422764,1.0003642276422764
1,40000,40,1.0019474,-0.037702677000000004,16.636032999999998,1.5029065000000001,21.107019,18.138939,-4.4709867,743.3263099999999,48.524369,48.524369,48.524369,-0.088726562,0.014158262,-0.03853973,-0.0061413197,0.051848549,0.033584935,84.968905,8411.9218,-0.00021300221303483492,-204.57299999999998,-343.19199999999995,473.63800000000003,-178.83,569.865,100.475,-0.0019958341463414634,-0.003348214634146341,0.004620858536585366,-0.0017446829268292685,0.005559658536585366,0.0009802439024390243,1704930.0,153686,153686,1704930.0,1368.08,30.0,-0.00030607993574569047,0.9995837398373983,0.9995837398373983
2,60000,60,1.0026171,0.042132977,16.625859,1.5039109,21.105434,18.12977,-4.4795754,1679.5542,48.485597,48.485597,48.485597,0.024897771000000003,0.047322379000000005,0.054178782,0.016949188,-0.044298437999999996,0.01353479,127.47446000000001,8370.8231,-0.0010118532290717007,6.90422,-98.2857,-136.44299999999998,101.28399999999999,-167.28900000000002,404.481,6.735824390243902e-05,-0.0009588848780487805,-0.001331151219512195,0.0009881365853658536,-0.001632087804878049,0.003946156097560976,1704910.0,153621,153621,1704910.0,1449.05,50.0,-0.0011049309517825563,0.9991609756097561,0.9991609756097561
3,80000,80,1.0018338,0.00070269967,16.635753,1.502736,21.105122,18.138489,-4.4693687,778.59996,48.509467,48.509467,48.509467,0.009980761500000001,-0.0099472385,0.002074576,0.013548875,-0.025906749,0.0457834,170.09994,8334.8972,-0.000520040226059191,-476.914,-756.552,1011.47,434.278,175.295,567.901,-0.004652819512195122,-0.0073809951219512195,0.009868,0.004236858536585366,0.0017101951219512194,0.005540497560975609,1705040.0,153733,153733,1705040.0,1205.87,70.0,-0.0006131179487700466,0.999889430894309,0.999889430894309
4,100000,100,0.99813069,0.04410385,16.627527,1.4971813999999999,21.10686,18.124709,-4.479332599999999,2194.3702,48.481524,48.481524,48.481524,0.032423826,0.065207063,0.034680662,-0.0212502,-0.024671158999999998,0.0019364499,212.68581,8294.7466,-0.0010957725571516708,-574.125,-216.334,988.92,-287.363,575.763,83.2723,-0.0056012195121951215,-0.0021105756097560976,0.009648,-0.002803541463414634,0.0056172,0.0008124126829268293,1704900.0,153559,153559,1704900.0,1510.44,90.0,-0.0011888502798625264,0.9987577235772358,0.9987577235772358
5,120000,120,0.99987102,-0.012047708999999998,16.635938,1.4997919,21.106251,18.13573,-4.4703127,1069.5392,48.508582000000004,48.508582000000004,48.508582000000004,0.015401146000000001,-0.060000565,0.008456290699999999,-0.0048486515,-0.00228194,0.017761026,255.07314,8247.3648,-0.0005382746000711057,15.6716,73.014,31.0974,137.938,440.584,-130.849,0.00015289365853658537,0.0007123317073170732,0.00030338926829268293,0.0013457365853658536,0.004298380487804878,-0.0012765756097560975,1705200.0,153835,153835,1705200.0,942.452,110.0,-0.0006313523227819613,1.0005528455284554,1.0005528455284554
6,140000,140,1.0021949,-0.008472944,16.639267,1.5032776,21.103725,18.142544,-4.4644587,379.70559,48.544702,48.544702,48.544702,-0.020842752,0.032023564,-0.036599644,0.043269734000000004,-0.00013662471000000002,0.012462656,297.72699,8208.7586,0.00020593510536704237,130.332,-380.41,108.766,-430.79900000000004,377.855,80.3357,0.0012715317073170732,-0.003711317073170732,0.0010611317073170733,-0.004202917073170732,0.0036863902439024394,0.0007837629268292683,1705180.0,153753,153753,1705180.0,1053.73,130.0,0.00011285738265618681,1.0000195121951219,1.0000195121951219
7,160000,160,1.0005156,-0.0096815877,16.630879,1.5007588,21.109554,18.131636999999998,-4.4786754,1501.8121,48.499762,48.499762,48.499762,0.040630037,-0.075080026,0.005405225400000001,0.012940987,-0.017246216,-0.0049879370000000004,340.04566,8161.0958,-0.0007200002258177937,-69.1265,-267.235,304.909,-597.895,33.7388,52.2176,-0.0006744048780487805,-0.0026071707317073174,0.002974721951219512,-0.005833121951219512,0.0003291590243902439,0.00050944,1704890.0,153678,153678,1704890.0,1430.84,150.0,-0.0008130779485286492,0.9995317073170732,0.9995317073170732
8,180000,180,1.0020215000000001,0.024099363999999998,16.633344,1.5030176000000002,21.107254,18.136362,-4.4739097,1013.1977,48.506958000000004,48.506958000000004,48.506958000000004,0.056221050999999994,0.011369162,0.004707879,-0.013025896,0.0030848466,-0.03693415,382.41102,8115.6117,-0.0005717351914783975,102.79,-227.94299999999998,290.613,-440.72900000000004,136.885,-42.799,0.001002829268292683,-0.0022238341463414633,0.002835248780487805,-0.00429979512195122,0.0013354634146341463,-0.0004175512195121951,1704860.0,153744,153744,1704860.0,1388.35,170.0,-0.000664812914189253,0.999960975609756,0.999960975609756
9,200000,200,1.0010954,0.041203669,16.638481,1.5016285,21.106022,18.140109,-4.467540799999999,631.70718,48.516871,48.516871,48.516871,0.013184818000000001,0.077776919,0.03264927,0.056407344000000005,0.050515832999999996,0.033305048999999996,424.96099000000004,8074.2589,-0.00036748959873180077,582.572,-615.196,287.149,-718.9169999999999,257.072,-474.50300000000004,0.005683629268292683,-0.0060019121951219515,0.0028014536585365853,-0.0070138243902439015,0.002508019512195122,-0.00462929756097561,1704960.0,153697,153697,1704960.0,1332.66,190.0,-0.00046056732144265634,0.9996552845528456,0.9996552845528456
10,220000,220,1.000542,-0.061028636,16.632885,1.5007983999999999,21.107483,18.133682999999998,-4.4745983,1287.9883,48.524611,48.524611,48.524611,-0.068478846,-0.073100985,-0.041506077,0.01153529,-0.045772428,-0.010366631,467.70395,8036.0043,-0.0002080160904236471,-106.23299999999999,-602.505,516.677,-38.1999,274.178,-792.1669999999999,-0.0010364195121951218,-0.005878097560975609,0.005040751219512195,-0.0003726819512195122,0.002674907317073171,-0.007728458536585365,1705050.0,153785,153785,1705050.0,1149.87,210.0,-0.00030109381313450265,1.0002276422764227,1.0002276422764227
11,240000,240,0.99932039,-0.024641687000000002,16.641103,1.498966,21.104705,18.140069,-4.463602,637.53927,48.524283000000004,48.524283000000004,48.524283000000004,-0.039158722,-0.012460235,-0.022306105,-0.039563617999999995,0.006079195,-0.013073673999999999,510.23456,7993.6747,-0.0002147741409048442,172.122,-452.708,42.7881,97.6205,92.7867,-588.817,0.001679239024390244,-0.004416663414634147,0.0004174448780487805,0.0009523951219512196,0.0009052360975609756,-0.005744556097560975,1705270.0,153881,153881,1705270.0,842.255,230.0,-0.0003078518636156998,1.0008520325203252,1.0008520325203252
12,260000,260,0.99969339,0.078930531,16.629611999999998,1.4995254,21.105845000000002,18.129137,-4.4762335,1760.8772,48.479915999999996,48.479915999999996,48.479915999999996,0.040757294,0.07539986900000001,0.12063443,-0.043500159000000004,-0.0051097166,-0.0045233625,552.81985,7952.1009,-0.0011289034875599762,-459.61800000000005,269.622,449.705,79.8445,-76.6909,406.184,-0.004484078048780488,0.002630458536585366,0.004387365853658536,0.0007789707317073171,-0.0007482039024390244,0.003962770731707317,1704890.0,153655,153655,1704890.0,1452.67,250.0,-0.0012219812102708318,0.9993821138211383,0.9993821138211383
13,280000,280,1.0014245000000002,-0.027141323999999998,16.636756,1.5021221000000002,21.109795000000002,18.138878,-4.473039099999999,768.73244,48.51426,48.51426,48.51426,-0.047134796,-0.045557411,0.011268236000000001,-0.012208783,0.014065368,-0.061780166,595.51167,7911.798000000001,-0.00042128615302029575,-123.476,28.3808,94.8611,-336.717,193.109,-8.74189,-0.0012046439024390244,0.0002768858536585366,0.0009254741463414634,-0.003285043902439024,0.0018839902439024391,-8.528673170731707e-05,1705060.0,153760,153760,1705060.0,1178.9,270.0,-0.0005143638757311513,1.0000650406504066,1.0000650406504066
14,300000,300,0.99915634,0.0093259628,16.634724,1.4987198999999998,21.105604,18.133444,-4.4708801,1322.8372,48.516003000000005,48.516003000000005,48.516003000000005,-0.0049471142,0.02059553,0.012329473,0.061789699000000003,-0.034906027,-0.042042902,637.6644200000001,7864.5278,-0.0003853737079321918,-40.7132,-141.935,36.6806,-556.832,272.894,113.134,-0.0003972019512195122,-0.0013847317073170731,0.00035785951219512196,-0.00543250731707317,0.0026623804878048783,0.0011037463414634147,1705200.0,153881,153881,1705200.0,915.6419999999999,290.0,-0.0004784514306430474,1.0008520325203252,1.0008520325203252
15,320000,320,1.0053589,-0.0064419576,16.635893,1.5080236,21.106485,18.143917000000002,-4.4705922,255.87222000000003,48.518726,48.518726,48.518726,0.05681400599999999,-0.041381402000000005,-0.034758477,0.046239622,0.030399844,0.027405473,680.18354,7822.1107,-0.00032926952665020666,333.605,-407.42699999999996,126.569,-158.953,195.292,-458.221,0.0032546829268292683,-0.0039748975609756095,0.0012348195121951219,-0.0015507609756097562,0.0019052878048780488,-0.004470448780487805,1705190.0,153817,153817,1705190.0,991.155,310.0,-0.00042234724936106224,1.0004357723577235,1.0004357723577235
16,340000,340,1.0002534,-0.021316539,16.628659,1.5003655,21.107616,18.129023999999998,-4.4789568,1784.5261,48.501027,48.501027,48.501027,-0.047667795,-0.013988338000000001,-0.0022934853,-0.0042086078999999995,-0.012427975,-0.03572308,722.65085,7779.1239,-0.0006939364030774272,165.774,-246.768,232.91299999999998,-16.6733,275.125,126.84899999999999,0.0016173073170731708,-0.0024074926829268295,0.002272321951219512,-0.00016266634146341465,0.0026841463414634145,0.001237551219512195,1705270.0,153814,153814,1705270.0,925.2660000000001,330.0,-0.0007870141257882827,1.0004162601626017,1.0004162601626017
17,360000,360,0.99613211,-0.029981353,16.631879,1.4941836000000002,21.103919,18.126063000000002,-4.4720402,2084.3817,48.513391,48.513391,48.513391,-0.01691894,-0.04574601,-0.02727911,0.01043845,0.0057703382999999995,0.025371611000000002,765.37437,7738.7853,-0.00043919086603322403,676.5360000000001,-987.1460000000001,174.938,223.079,-37.0958,72.9977,0.006600351219512196,-0.00963069268292683,0.0017067121951219511,0.002176380487804878,-0.000361910243902439,0.0007121726829268292,1704860.0,153744,153744,1704860.0,1400.78,350.0,-0.0005322685887440796,0.999960975609756,0.999960975609756
18,380000,380,0.99803104,-0.021944442999999998,16.628345,1.497032,21.106687,18.125377,-4.4783418,2161.5629,48.50009,48.50009,48.50009,-0.037612094,-0.052813907,0.024592672000000003,0.023658506,-0.0021268863000000002,-0.018585993000000002,808.28165,7699.9462,-0.0007132421753364502,332.379,-380.69599999999997,-106.421,-92.0798,-124.11200000000001,-98.0521,0.0032427219512195125,-0.0037141073170731706,-0.0010382536585365853,-0.000898339512195122,-0.001210848780487805,-0.0009566058536585366,1704640.0,153494,153494,1704640.0,1872.62,370.0,-0.0008063198980473058,0.9983349593495935,0.9983349593495935
19,400000,400,1.00091,-0.0011778968,16.638904,1.5013503000000001,21.106659,18.140255,-4.4677551,642.29012,48.525755,48.525755,48.525755,-0.0025953961,0.017099483000000002,-0.018037776999999998,-0.007438413299999999,-0.009736926,0.023195597999999998,850.84024,7657.5622,-0.00018444532898902094,668.262,-748.0010000000001,214.62099999999998,428.51599999999996,51.4815,105.22,0.006519629268292682,-0.007297570731707318,0.002093863414634146,0.004180643902439024,0.0005022585365853659,0.0010265365853658536,1704930.0,153672,153672,1704930.0,1410.88,390.0,-0.0002775230516998765,0.9994926829268292,0.9994926829268292
20,420000,420,0.99756962,0.026504616,16.638947,1.4963398,21.104735,18.135286999999998,-4.4657874,1157.5948,48.515817999999996,48.515817999999996,48.515817999999996,-0.0036714749,0.065769145,0.017416178,0.029886532,0.017500198999999998,0.033207227,893.29825,7614.3041,-0.00038918541323431684,580.924,-779.3689999999999,183.018,-56.9142,535.698,-206.605,0.005667551219512195,-0.007603599999999999,0.0017855414634146342,-0.0005552604878048781,0.005226321951219512,-0.0020156585365853656,1705150.0,153769,153769,1705150.0,1102.52,410.0,-0.0004822631359451724,1.0001235772357724,1.0001235772357724
21,440000,440,1.000408,-0.050436293,16.640378,1.5005973,21.109109,18.140976000000002,-4.4687307,571.96533,48.534213,48.534213,48.534213,-0.04759819,-0.069181808,-0.03452888,-0.038592699999999994,0.019332258999999997,0.047571069,936.4267199999999,7576.5434,-1.0178283346723813e-05,280.072,-2.53818,0.180318,80.896,140.349,-133.41299999999998,0.002732409756097561,-2.4762731707317076e-05,1.7592e-06,0.0007892292682926829,0.0013692585365853657,-0.0013015902439024389,1704810.0,153607,153607,1704810.0,1607.36,430.0,-0.00010325600605757938,0.999069918699187,0.999069918699187
22,460000,460,0.99935617,0.020818237,16.630882999999997,1.4990196000000002,21.106404,18.129903,-4.4755211,1701.0179999999998,48.516396,48.516396,48.516396,0.05772002,-0.019993258,0.024727948,0.014635156000000002,0.0002639739,0.029449557,978.9385900000001,7533.5709,-0.00037727640964221914,-643.313,112.306,306.644,316.285,137.749,-30.8367,-0.006276224390243903,0.0010956682926829269,0.002991648780487805,0.003085707317073171,0.0013438926829268292,-0.0003008458536585366,1705240.0,153770,153770,1705240.0,1003.52,450.0,-0.0004703541323530747,1.000130081300813,1.000130081300813
23,480000,480,0.99941352,-0.029734574,16.644043,1.4991056999999999,21.112423,18.143148999999998,-4.4683796,336.44757000000004,48.522294,48.522294,48.522294,-0.044963864000000006,-0.032906745,-0.011333113999999998,0.0089250825,-0.063394273,-0.03521459,1021.3371,7489.8057,-0.00025575512385384594,-193.14700000000002,361.606,-345.333,-188.25799999999998,544.69,304.74,-0.0018843609756097562,0.0035278634146341465,-0.0033691024390243903,-0.0018366634146341461,0.0053140487804878055,0.0029730731707317075,1705190.0,153780,153780,1705190.0,1039.94,470.0,-0.0003488328465647015,1.0001951219512195,1.0001951219512195
24,500000,500,1.0008690999999998,-0.011978803,16.631560999999998,1.5012889999999999,21.108992,18.13285,-4.4774308,1397.1638,48.499013,48.499013,48.499013,-0.073573123,0.036554381000000004,0.0010823331,0.011067200000000001,0.0021453926,0.042161767999999995,1064.0773,7448.5414,-0.0007354324813375189,-155.175,351.19599999999997,-33.3764,95.2709,-73.9881,-122.552,-0.0015139024390243903,0.0034263024390243898,-0.00032562341463414634,0.0009294721951219512,-0.0007218351219512195,-0.001195629268292683,1705210.0,153794,153794,1705210.0,1002.88,490.0,-0.0008285102040483745,1.0002861788617885,1.0002861788617885
25,520000,520,0.99927032,0.023917748,16.631601999999997,1.4988909,21.107501,18.130492999999998,-4.4758987999999995,1635.7827,48.50023,48.50023,48.50023,-0.011306605,0.017301362,0.06575848599999999,0.025364902999999998,0.02254619,-0.0013252542000000002,1106.7098,7406.4426,-0.0007103576415944043,-236.826,-269.36400000000003,719.409,-192.217,-240.27200000000002,426.161,-0.0023104975609756096,-0.0026279414634146343,0.0070186243902439025,-0.001875287804878049,-0.002344117073170732,0.004157668292682927,1704870.0,153507,153507,1704870.0,1641.99,510.0,-0.0008034353643052599,0.9984195121951219,0.9984195121951219
26,540000,540,0.9976183000000001,0.027853171,16.634524,1.4964128,21.106428,18.130937,-4.4719041,1584.0479999999998,48.526603,48.526603,48.526603,-0.0041858021,0.064103118,0.023642199,-0.035169209,-0.0098344412,0.014104746000000001,1149.031,7362.3098,-0.0001669732960373263,453.506,-275.113,-316.42,-41.9888,-350.88199999999995,112.26,0.004424448780487805,-0.002684029268292683,-0.0030870243902439026,-0.00040964682926829265,-0.0034232390243902435,0.001095219512195122,1705120.0,153773,153773,1705120.0,1108.63,530.0,-0.00026005101874818185,1.000149593495935,1.000149593495935
27,560000,560,1.0038436,0.054930887000000005,16.639559,1.5057506999999999,21.107902,18.145310000000002,-4.4683425,117.36623,48.514223,48.514223,48.514223,0.024316037000000002,0.086895161,0.053581462999999996,-0.0054527602,0.020922057,-0.014590893999999998,1191.8229,7321.1978,-0.0004220484940806622,-285.757,507.77099999999996,-110.73200000000001,153.25,-191.649,-420.75199999999995,-0.002787873170731707,0.004953863414634146,-0.0010803121951219513,0.001495121951219512,-0.0018697463414634147,-0.004104897560975609,1705140.0,153726,153726,1705140.0,1147.26,550.0,-0.0005151262167915178,0.9998439024390244,0.9998439024390244
28,580000,580,1.0000025,0.022140711,16.633425,1.4999892,21.102412,18.133415,-4.468986900000001,1341.693,48.518463,48.518463,48.518463,0.0006857471,0.040003132999999996,0.025733251000000002,-0.028655496000000003,-0.04346553,0.0181524,1234.4561,7279.034000000001,-0.00033468832932277454,-74.9186,-125.766,-12.004000000000001,346.374,-127.486,70.6067,-0.0007309131707317073,-0.0012269853658536587,-0.00011711219512195123,0.003379258536585366,-0.0012437658536585366,0.0006888458536585366,1705290.0,153856,153856,1705290.0,873.9680000000001,570.0,-0.0004277660520336301,1.000689430894309,1.000689430894309
29,600000,600,1.0006576999999999,0.039053977999999996,16.63855,1.5009718,21.107697,18.139522,-4.4691475,707.9002,48.509828999999996,48.509828999999996,48.509828999999996,0.035845025,0.0018440605,0.079472848,0.02559408,0.029479482,-0.015176466000000001,1277.0425,7236.5741,-0.0005125816459549466,-37.1959,398.673,-269.28700000000003,154.489,-17.7438,-13.5807,-0.0003628868292682927,0.0038894926829268293,-0.002627190243902439,0.001507209756097561,-0.00017311024390243902,-0.00013249463414634146,1705140.0,153782,153782,1705140.0,1088.04,590.0,-0.0006056593686658021,1.0002081300813008,1.0002081300813008
30,620000,620,1.0003659,0.023823515,16.633978,1.5005342,21.105828,18.134513000000002,-4.4718499000000005,1221.6484,48.520934999999994,48.520934999999994,48.520934999999994,0.016240525,0.042459929,0.01277009,0.008867511600000001,-0.015685618000000002,-0.0074198036,1319.7521,7194.7775,-0.00028375570496393446,349.19599999999997,-307.04,106.743,376.149,10.5613,260.65,0.003406790243902439,-0.0029955121951219512,0.0010413951219512194,0.0036697463414634146,0.0001030370731707317,0.0025429268292682925,1705460.0,153956,153956,1705460.0,590.015,610.0,-0.00037683342767479003,1.001339837398374,1.001339837398374
31,640000,640,0.99889827,-0.041663662000000004,16.63478,1.4983328000000002,21.106491000000002,18.133112,-4.4717115,1363.2586,48.518271,48.518271,48.518271,-0.024932153999999998,-0.051246274,-0.048812558,0.033426931,0.0027893047999999997,-0.032580006,1362.4971,7153.1099,-0.0003386442613117822,96.0372,496.974,-570.925,-194.782,-587.967,-173.215,0.0009369482926829268,0.004848526829268293,-0.005569999999999999,-0.0019003121951219513,-0.005736263414634147,-0.0016899024390243903,1705250.0,153784,153784,1705250.0,976.34,630.0,-0.00043172198402263777,1.0002211382113821,1.0002211382113821
